,feature,class
0,"[-3.10451263e+02  1.37750320e+02 -2.27354965e+01  4.19403267e+01
 -5.66387253e+01  8.17845631e+00 -1.91776085e+01 -8.61465359e+00
 -1.41679468e+01 -1.23814535e+01 -3.10506016e-01 -7.91539574e+00
  3.81314254e+00 -1.71314220e+01  3.30298400e+00 -3.13182521e+00
 -5.61553764e+00 -8.52337551e+00 -4.67451239e+00 -3.77904940e+00
 -1.10149536e+01 -2.56651044e+00 -8.36624050e+00 -2.31726480e+00
 -6.42136574e+00 -1.12687540e+00 -4.91116095e+00 -4.47389412e+00
 -2.24546170e+00 -8.78160667e+00 -2.85179853e+00 -4.63812065e+00
 -2.15112948e+00 -3.11306524e+00  1.09998267e-02 -1.00805771e+00
 -1.04370391e+00 -1.88986373e+00 -2.30607748e+00  7.30905309e-02]",male
1,"[-1.78769058e+02  1.04643929e+02 -8.80489655e+01  1.73832302e+01
 -4.80003319e+01 -7.04585123e+00 -2.98008633e+01 -2.03349686e+00
 -2.14780941e+01 -4.31751680e+00 -3.88440132e+00 -1.59116926e+01
  1.49772978e+00 -1.80008259e+01 -9.69998240e-01 -1.95143223e+01
 -1.44021249e+00 -3.16915965e+00 -7.87675738e-01  3.08745456e+00
  2.76811689e-01  9.54571819e+00 -4.72543269e-01  1.18180141e+01
  2.19636977e-01  3.77107358e+00 -5.10139279e-02 -1.08442925e-01
  1.14872921e+00 -1.88762629e+00  1.17163682e+00 -7.12439156e+00
  9.84519839e-01 -1.08780849e+00  1.45141470e+00 -3.17908812e+00
 -8.30907166e-01  1.00538947e-01 -1.15448117e+00  7.03741014e-01]",male
2,"[-1.8492624e+02  1.6284914e+02 -4.4252773e+01  2.2029104e+01
 -1.7971146e+01  4.4717169e+00 -1.5339364e+01 -7.3632736e+00
 -6.1081467e+00 -5.5206151e+00  2.9413662e+00  1.0926147e+00
  7.5211730e+00 -2.4652712e+00  8.7551622e+00 -3.9826546e+00
  6.6557759e-01  4.4961133e+00 -1.8420027e+00 -1.9872890e-01
 -5.5282998e-01  3.3459120e+00 -4.0571599e+00  1.7809626e+00
 -6.5966552e-01  7.1453148e-01 -7.1331233e-02 -1.4364010e+00
  1.3541785e+00 -1.9007211e+00  1.3003203e+00 -2.3535352e+00
 -1.2081666e+00 -3.3836741e+00 -1.2559760e+00 -1.3429340e+00
 -2.8672266e+00  8.8856268e-01 -1.0973563e+00  1.1616371e+00]",male
3,"[-2.4865388e+02  1.2520643e+02 -2.9843830e+01  3.7045231e+01
 -1.3162090e+01  7.7802753e+00 -9.7996283e+00  1.5569187e+00
 -3.3422804e+00 -1.4384769e-01 -5.0717292e+00  9.9197096e-01
  5.8060555e+00 -1.3873362e+01  9.4374170e+00 -8.9534521e+00
  2.5279897e-01 -3.3082521e+00 -4.6159596e+00  4.5146356e+00
 -9.0515537e+00  1.0027112e+00 -8.6653023e+00 -5.3521686e+00
 -5.5770364e+00 -4.5256333e+00 -5.4712963e+00 -4.2227774e+00
 -4.6627435e-01 -7.3049469e+00  1.4674442e+00 -4.0388026e+00
 -2.5201366e+00 -1.5797690e+00 -2.4592175e+00  8.0890155e-01
 -2.2066667e+00 -1.9748782e+00 -2.6181653e+00  6.1656050e-02]",male
4,"[-269.55075     168.54199      -7.2654166    52.937016    -21.83638
   31.044477    -19.457619      9.0691595    -5.2146606    -1.5353135
   -5.949631     -8.246299      9.90209     -19.088207      4.277113
   -7.76038       0.44961408   -5.167123     -0.629679     -1.1049002
   -5.325475      0.58863544   -8.551846      4.1082034    -6.2645574
   -0.65115726   -4.120805     -1.0682203    -3.8791683    -4.9396443
    1.8320452    -6.833828      1.1036335    -2.637547      0.94455993
   -2.5077753    -2.272124     -1.1714301    -3.644867     -1.9043653 ]",male
5,"[-254.61633    101.392914   -45.824795    71.99674    -46.240818
   -4.6601796   -6.1233807  -15.3311205  -10.47227     -7.752707
   -9.92135     -3.3499305   -1.3795046  -10.947249     5.410487
  -14.442402    -2.371076    -5.623161    -5.350547    -2.7582583
   -8.823125    -2.2365723   -8.332047    -4.885964    -6.477749
   -1.5937669   -8.171668    -1.8667678   -3.837893    -8.007013
   -1.5359926   -4.0132113    3.8318624    3.1757991    9.069679
    7.3895392    7.7033734    4.519534     1.7581953    3.1699991]",male
6,"[-4.1219220e+02  1.6963289e+02 -5.5983171e+00  2.3611418e+01
 -3.4434524e+00 -3.2096579e+00 -2.0737835e+01 -9.3296623e+00
 -1.2970115e+01 -8.0623713e+00 -2.5143251e+00 -3.7281811e+00
  3.5874321e+00 -1.0891722e+01  1.7472717e+00  1.2764893e+00
 -6.1395006e+00 -8.4180460e+00 -1.9457797e+00 -1.9240723e+00
 -7.2925968e+00  1.5717627e-01 -6.1750240e+00 -5.9934359e+00
 -5.7215300e+00 -2.8868887e+00 -4.8138394e+00 -7.7267451e+00
 -6.3989372e+00 -5.7506161e+00 -2.1246016e+00 -6.8770299e+00
 -2.9059834e+00 -2.9059694e+00 -5.3034339e+00 -3.6456935e+00
 -2.5334842e+00 -2.2874229e+00 -4.3272285e+00 -2.3760459e+00]",male
7,"[-3.3589099e+02  1.5782150e+02  1.1532625e+01  2.3052465e+01
 -2.0461592e+01 -2.0949435e+00 -1.7030689e+01 -3.9624474e+00
 -1.2346372e+01 -1.5102758e+01  1.2587271e+00 -1.2970418e+00
  4.0537710e+00 -7.0433908e+00  2.8588133e+00 -1.2381157e+00
 -4.3609710e+00 -1.9039257e+00  8.2320833e-01  3.1900930e+00
 -6.5830626e+00 -8.1773743e-02 -8.3459121e-01 -3.0489485e+00
 -1.4339955e+00  6.2051111e-01  6.2813419e-01 -6.8069386e-01
 -3.3174029e-01 -1.3771269e+00 -8.6287934e-01 -2.4820325e+00
 -1.8432470e-01 -6.0647774e-01 -2.3162310e+00 -2.9108891e+00
 -3.8776839e-01  3.4265831e-01 -1.0436677e+00 -8.2648605e-01]",male
8,"[-3.9746719e+02  1.2984705e+02 -3.2121655e+01  6.5424675e+01
 -1.7218451e+01  9.9814396e+00 -5.9613352e+00 -1.5940378e+01
 -1.4553085e+01  1.2404843e-01 -1.7408593e+00 -4.6107054e+00
  2.5725777e+00 -8.0905743e+00  8.7437153e+00 -5.1201143e+00
  1.0463016e+00 -7.0248508e+00 -3.0501113e+00 -1.7291117e+00
 -8.5759583e+00  4.5926962e+00 -7.5946918e+00  8.8449681e-01
 -2.4129353e+00 -1.4044363e+00 -1.7343100e+00 -2.9001837e+00
 -5.4565227e-01 -4.7397747e+00  9.0979213e-01 -3.7450809e+00
 -1.0827657e+00 -3.4298315e+00 -2.9062021e-01 -1.4397590e+00
 -3.1361861e+00 -1.4951712e+00 -4.8801384e+00 -1.3233467e+00]",male
9,"[-3.9926089e+02  1.6454123e+02  8.5090113e+00  4.1610714e+01
 -3.4611721e+00  1.1332750e+01 -3.9881599e+00 -4.4151559e+00
 -1.5589965e+01 -3.9424856e+00  5.1382999e+00 -6.1207170e+00
 -1.5541519e-01 -8.2825766e+00  4.1416082e+00  4.0442734e+00
 -1.9402057e+00 -7.8000007e+00  2.3094976e+00 -4.0140824e+00
 -7.5545859e+00  5.1918888e+00 -9.0779819e+00 -3.9031990e+00
 -1.3159437e+00 -1.0104855e+00 -4.6544266e+00 -1.8811769e+00
 -1.9992016e-01 -5.5889101e+00  1.4551076e+00 -5.3513374e+00
 -7.3296767e-01 -7.8805101e-01 -3.9658110e+00 -7.4543130e-01
 -1.5228255e+00 -2.3213754e+00 -1.7068144e+00  5.2282536e-01]",male
